time,numberOfPacketsTrans,numberOfPacketsRec,loss,bashliteRun
12:05:20,1,1,0%,94
12:05:21,1,1,0%,94
12:05:21,1,1,0%,94
12:05:22,1,1,0%,94
12:05:22,1,1,0%,94
12:05:23,1,1,0%,94
12:05:23,1,1,0%,94
12:05:24,1,1,0%,94
12:05:24,1,1,0%,94
12:05:25,1,1,0%,94
12:05:25,1,1,0%,94
12:05:26,1,1,0%,94
12:05:27,1,1,0%,94
12:05:27,1,1,0%,94
12:05:28,1,1,0%,94
12:05:28,1,1,0%,94
12:05:29,1,1,0%,94
12:05:29,1,1,0%,94
12:05:30,1,1,0%,94
12:05:30,1,1,0%,94
12:05:31,1,1,0%,94
12:05:31,1,1,0%,94
12:05:32,1,1,0%,94
12:05:32,1,1,0%,94
12:05:33,1,1,0%,94
12:05:33,1,1,0%,94
12:05:34,1,1,0%,94
12:05:35,1,1,0%,94
12:05:35,1,1,0%,94
12:05:36,1,1,0%,94
12:05:36,1,1,0%,94
12:05:37,1,1,0%,94
12:05:37,1,1,0%,94
12:05:38,1,1,0%,94
12:05:38,1,1,0%,94
12:05:39,1,1,0%,94
12:05:39,1,1,0%,94
12:05:40,1,1,0%,94
12:05:40,1,1,0%,94
12:05:41,1,1,0%,94
12:05:41,1,1,0%,94
12:05:42,1,1,0%,94
12:05:42,1,1,0%,94
12:05:43,1,1,0%,94
12:05:43,1,1,0%,94
12:05:44,1,1,0%,94
12:05:45,1,1,0%,94
12:05:45,1,1,0%,94
12:05:46,1,1,0%,94
12:05:46,1,1,0%,94
12:05:47,1,1,0%,94
12:05:47,1,1,0%,94
12:05:48,1,1,0%,94
12:05:48,1,1,0%,94
12:05:49,1,1,0%,94
12:05:49,1,1,0%,94
12:05:50,1,1,0%,94
12:05:50,1,1,0%,94
12:05:51,1,1,0%,94
12:05:51,1,1,0%,94
12:05:52,1,1,0%,94
12:05:52,1,1,0%,94
12:05:53,1,1,0%,94
12:05:54,1,1,0%,94
12:05:54,1,1,0%,94
12:05:55,1,1,0%,94
12:05:55,1,1,0%,94
12:05:56,1,1,0%,94
12:05:56,1,1,0%,94
12:05:57,1,1,0%,94
12:05:57,1,1,0%,94
12:05:58,1,1,0%,94
12:05:58,1,1,0%,94
12:05:59,1,1,0%,94
12:05:59,1,1,0%,94
12:06:00,1,1,0%,94
12:06:00,1,1,0%,94
12:06:01,1,1,0%,94
12:06:02,1,1,0%,94
12:06:02,1,1,0%,94
12:06:03,1,1,0%,94
12:06:03,1,1,0%,94
12:06:04,1,1,0%,94
12:06:04,1,1,0%,94
12:06:05,1,1,0%,94
12:06:05,1,1,0%,94
12:06:06,1,1,0%,94
12:06:06,1,1,0%,94
12:06:07,1,1,0%,94
12:06:07,1,1,0%,94
12:06:08,1,1,0%,94
12:06:08,1,1,0%,94
12:06:09,1,1,0%,94
12:06:09,1,1,0%,94
12:06:10,1,1,0%,94
12:06:10,1,1,0%,94
12:06:11,1,1,0%,94
12:06:12,1,1,0%,94
12:06:12,1,1,0%,94
12:06:13,1,1,0%,94
12:06:13,1,1,0%,94
12:06:14,1,1,0%,94
12:06:14,1,1,0%,94
12:06:15,1,1,0%,94
12:06:15,1,1,0%,94
12:06:16,1,1,0%,94
12:06:16,1,1,0%,94
12:06:17,1,1,0%,94
12:06:17,1,1,0%,94
12:06:18,1,1,0%,94
12:06:18,1,1,0%,94
12:06:19,1,1,0%,94
12:06:19,1,1,0%,94
12:06:20,1,1,0%,94
12:06:21,1,1,0%,94
12:06:21,1,1,0%,94
12:06:22,1,1,0%,94
12:06:22,1,1,0%,94
12:06:23,1,1,0%,94
12:06:23,1,1,0%,94
12:06:24,1,1,0%,94
12:06:24,1,1,0%,94
12:06:25,1,1,0%,94
12:06:25,1,1,0%,94
12:06:26,1,1,0%,94
12:06:26,1,1,0%,94
12:06:27,1,1,0%,94
12:06:27,1,1,0%,94
12:06:28,1,1,0%,94
12:06:28,1,1,0%,94
12:06:29,1,1,0%,94
12:06:30,1,1,0%,94
12:06:30,1,1,0%,94
12:06:31,1,1,0%,94
12:06:31,1,1,0%,94
12:06:32,1,1,0%,94
12:06:32,1,1,0%,94
12:06:33,1,1,0%,94
12:06:33,1,1,0%,94
12:06:34,1,1,0%,94
12:06:34,1,1,0%,94
12:06:35,1,1,0%,94
12:06:35,1,1,0%,94
12:06:36,1,1,0%,94
12:06:36,1,1,0%,94
12:06:37,1,1,0%,94
12:06:37,1,1,0%,94
12:06:38,1,1,0%,94
12:06:39,1,1,0%,94
12:06:39,1,1,0%,94
12:06:40,1,1,0%,94
12:06:40,1,1,0%,94
12:06:41,1,1,0%,94
12:06:41,1,1,0%,94
12:06:42,1,1,0%,94
12:06:42,1,1,0%,94
12:06:43,1,1,0%,94
12:06:43,1,1,0%,94
12:06:44,1,1,0%,94
12:06:44,1,1,0%,94
12:06:45,1,1,0%,94
12:06:45,1,1,0%,94
12:06:46,1,1,0%,94
12:06:46,1,1,0%,94
12:06:47,1,1,0%,94
12:06:48,1,1,0%,94
12:06:48,1,1,0%,94
12:06:49,1,1,0%,94
12:06:49,1,1,0%,94
12:06:50,1,1,0%,94
12:06:50,1,1,0%,94
12:06:51,1,1,0%,94
12:06:51,1,1,0%,94
12:06:52,1,1,0%,94
12:06:52,1,1,0%,94
12:06:53,1,1,0%,94
12:06:53,1,1,0%,94
12:06:54,1,1,0%,94
12:06:54,1,1,0%,94
12:06:55,1,1,0%,94
12:06:55,1,1,0%,94
12:06:56,1,1,0%,94
12:06:57,1,1,0%,94
12:06:57,1,1,0%,94
12:06:58,1,1,0%,94
12:06:58,1,1,0%,94
12:06:59,1,1,0%,94
12:06:59,1,1,0%,94
12:07:00,1,1,0%,94
12:07:00,1,1,0%,94
12:07:01,1,1,0%,94
12:07:01,1,1,0%,94
12:07:02,1,1,0%,94
12:07:02,1,1,0%,94
12:07:03,1,1,0%,94
12:07:03,1,1,0%,94
12:07:04,1,1,0%,94
12:07:05,1,1,0%,94
12:07:05,1,1,0%,94
12:07:06,1,1,0%,94
12:07:06,1,1,0%,94
12:07:07,1,1,0%,94
12:07:07,1,1,0%,94
12:07:08,1,1,0%,94
12:07:08,1,1,0%,94
12:07:09,1,1,0%,94
12:07:09,1,1,0%,94
12:07:10,1,1,0%,94
12:07:10,1,1,0%,94
12:07:11,1,1,0%,94
12:07:11,1,1,0%,94
12:07:12,1,1,0%,94
12:07:12,1,1,0%,94
12:07:13,1,1,0%,94
12:07:13,1,1,0%,94
12:07:14,1,1,0%,94
12:07:15,1,1,0%,94
12:07:15,1,1,0%,94
12:07:16,1,1,0%,94
12:07:16,1,1,0%,94
12:07:17,1,1,0%,94
12:07:17,1,1,0%,94
12:07:18,1,1,0%,94
12:07:18,1,1,0%,94
12:07:19,1,1,0%,94
12:07:19,1,1,0%,94
12:07:20,1,1,0%,94
12:07:20,1,1,0%,94
12:07:21,1,1,0%,94
12:07:21,1,1,0%,94
12:07:22,1,1,0%,94
12:07:22,1,1,0%,94
12:07:23,1,1,0%,94
12:07:24,1,1,0%,94
12:07:24,1,1,0%,94
12:07:25,1,1,0%,94
12:07:25,1,1,0%,94
12:07:26,1,1,0%,94
12:07:26,1,1,0%,94
12:07:27,1,1,0%,94
12:07:27,1,1,0%,94
12:07:28,1,1,0%,94
12:07:28,1,1,0%,94
12:07:29,1,1,0%,94
12:07:29,1,1,0%,94
12:07:30,1,1,0%,94
12:07:30,1,1,0%,94
12:07:31,1,1,0%,94
12:07:32,1,1,0%,94
12:07:32,1,1,0%,94
12:07:33,1,1,0%,94
12:07:33,1,1,0%,94
12:07:34,1,1,0%,94
12:07:34,1,1,0%,94
12:07:35,1,1,0%,94
12:07:35,1,1,0%,94
12:07:36,1,1,0%,94
12:07:36,1,1,0%,94
12:07:37,1,1,0%,94
12:07:37,1,1,0%,94
12:07:38,1,1,0%,94
12:07:38,1,1,0%,94
12:07:39,1,1,0%,94
12:07:39,1,1,0%,94
12:07:40,1,1,0%,94
12:07:41,1,1,0%,94
12:07:41,1,1,0%,94
12:07:42,1,1,0%,94
12:07:42,1,1,0%,94
12:07:43,1,1,0%,94
12:07:43,1,1,0%,94
12:07:44,1,1,0%,94
12:07:44,1,1,0%,94
12:07:45,1,1,0%,94
12:07:45,1,1,0%,94
12:07:46,1,1,0%,94
12:07:46,1,1,0%,94
12:07:47,1,1,0%,94
12:07:47,1,1,0%,94
12:07:48,1,1,0%,94
12:07:49,1,1,0%,94
12:07:49,1,1,0%,94
12:07:50,1,1,0%,94
12:07:50,1,1,0%,94
12:07:51,1,1,0%,94
12:07:51,1,1,0%,94
12:07:52,1,1,0%,94
12:07:52,1,1,0%,94
12:07:53,1,1,0%,94
12:07:53,1,1,0%,94
12:07:54,1,1,0%,94
12:07:54,1,1,0%,94
12:07:55,1,1,0%,94
12:07:55,1,1,0%,94
12:07:56,1,1,0%,94
12:07:57,1,1,0%,94
12:07:57,1,1,0%,94
12:07:58,1,1,0%,94
12:07:58,1,1,0%,94
12:07:59,1,1,0%,94
12:07:59,1,1,0%,94
12:08:00,1,1,0%,94
12:08:00,1,1,0%,94
12:08:01,1,1,0%,94
12:08:01,1,1,0%,94
12:08:02,1,1,0%,94
12:08:02,1,1,0%,94
12:08:03,1,1,0%,94
12:08:03,1,1,0%,94
12:08:04,1,1,0%,94
12:08:04,1,1,0%,94
12:08:05,1,1,0%,94
12:08:06,1,1,0%,94
12:08:06,1,1,0%,94
12:08:07,1,1,0%,94
12:08:07,1,1,0%,94
12:08:08,1,1,0%,94
12:08:08,1,1,0%,94
12:08:09,1,1,0%,94
12:08:09,1,1,0%,94
12:08:10,1,1,0%,94
12:08:10,1,1,0%,94
12:08:11,1,1,0%,94
12:08:11,1,1,0%,94
12:08:12,1,1,0%,94
12:08:12,1,1,0%,94
12:08:13,1,1,0%,94
12:08:13,1,1,0%,94
12:08:14,1,1,0%,94
12:08:15,1,1,0%,94
12:08:15,1,1,0%,94
12:08:16,1,1,0%,94
12:08:16,1,1,0%,94
12:08:17,1,1,0%,94
12:08:17,1,1,0%,94
12:08:18,1,1,0%,94
12:08:18,1,1,0%,94
12:08:19,1,1,0%,94
12:08:19,1,1,0%,94
12:08:20,1,1,0%,94
12:08:20,1,1,0%,94
12:08:21,1,1,0%,94
12:08:21,1,1,0%,94
12:08:22,1,1,0%,94
12:08:23,1,1,0%,94
12:08:23,1,1,0%,94
12:08:24,1,1,0%,94
12:08:24,1,1,0%,94
12:08:25,1,1,0%,94
12:08:25,1,1,0%,94
12:08:26,1,1,0%,94
12:08:26,1,1,0%,94
12:08:27,1,1,0%,94
12:08:27,1,1,0%,94
12:08:28,1,1,0%,94
12:08:28,1,1,0%,94
12:08:29,1,1,0%,94
12:08:29,1,1,0%,94
12:08:30,1,1,0%,94
12:08:30,1,1,0%,94
12:08:31,1,1,0%,94
12:08:32,1,1,0%,94
12:08:32,1,1,0%,94
12:08:33,1,1,0%,94
12:08:33,1,1,0%,94
12:08:34,1,1,0%,94
12:08:34,1,1,0%,94
12:08:35,1,1,0%,94
12:08:35,1,1,0%,94
12:08:36,1,1,0%,94
12:08:36,1,1,0%,94
12:08:37,1,1,0%,94
12:08:37,1,1,0%,94
12:08:38,1,1,0%,94
12:08:38,1,1,0%,94
12:08:39,1,1,0%,94
12:08:39,1,1,0%,94
12:08:40,1,1,0%,94
12:08:41,1,1,0%,94
12:08:41,1,1,0%,94
12:08:42,1,1,0%,94
12:08:42,1,1,0%,94
12:08:43,1,1,0%,94
12:08:43,1,1,0%,94
12:08:44,1,1,0%,94
12:08:44,1,1,0%,94
12:08:45,1,1,0%,94
12:08:45,1,1,0%,94
12:08:46,1,1,0%,94
12:08:46,1,1,0%,94
12:08:47,1,1,0%,94
12:08:47,1,1,0%,94
12:08:48,1,1,0%,94
12:08:48,1,1,0%,94
12:08:49,1,1,0%,94
12:08:50,1,1,0%,94
12:08:50,1,1,0%,94
12:08:51,1,1,0%,94
12:08:51,1,1,0%,94
12:08:52,1,1,0%,94
12:08:52,1,1,0%,94
12:08:53,1,1,0%,94
12:08:53,1,1,0%,94
12:08:54,1,1,0%,94
12:08:54,1,1,0%,94
12:08:55,1,1,0%,94
12:08:55,1,1,0%,94
12:08:56,1,1,0%,94
12:08:56,1,1,0%,94
12:08:57,1,1,0%,94
12:08:57,1,1,0%,94
12:08:58,1,1,0%,94
12:08:59,1,1,0%,94
12:08:59,1,1,0%,94
12:09:00,1,1,0%,94
12:09:00,1,1,0%,94
12:09:01,1,1,0%,94
12:09:01,1,1,0%,94
12:09:02,1,1,0%,94
12:09:02,1,1,0%,94
12:09:03,1,1,0%,94
12:09:03,1,1,0%,94
12:09:04,1,1,0%,94
12:09:04,1,1,0%,94
12:09:05,1,1,0%,94
12:09:05,1,1,0%,94
12:09:06,1,1,0%,94
12:09:06,1,1,0%,94
12:09:07,1,1,0%,94
12:09:08,1,1,0%,94
12:09:08,1,1,0%,94
12:09:09,1,1,0%,94
12:09:09,1,1,0%,94
12:09:10,1,1,0%,94
12:09:10,1,1,0%,94
12:09:11,1,1,0%,94
12:09:11,1,1,0%,94
12:09:12,1,1,0%,94
12:09:12,1,1,0%,94
12:09:13,1,1,0%,94
12:09:13,1,1,0%,94
12:09:14,1,1,0%,94
12:09:14,1,1,0%,94
12:09:15,1,1,0%,94
12:09:16,1,1,0%,94
12:09:16,1,1,0%,94
12:09:17,1,1,0%,94
12:09:17,1,1,0%,94
12:09:18,1,1,0%,94
12:09:18,1,1,0%,94
12:09:19,1,1,0%,94
12:09:19,1,1,0%,94
12:09:20,1,1,0%,94
12:09:20,1,1,0%,94
12:09:21,1,1,0%,94
12:09:21,1,1,0%,94
12:09:22,1,1,0%,94
12:09:22,1,1,0%,94
12:09:23,1,1,0%,94
12:09:23,1,1,0%,94
12:09:24,1,1,0%,94
12:09:25,1,1,0%,94
12:09:25,1,1,0%,94
12:09:26,1,1,0%,94
12:09:26,1,1,0%,94
12:09:27,1,1,0%,94
12:09:27,1,1,0%,94
12:09:28,1,1,0%,94
12:09:28,1,1,0%,94
12:09:29,1,1,0%,94
12:09:29,1,1,0%,94
12:09:30,1,1,0%,94
12:09:30,1,1,0%,94
12:09:31,1,1,0%,94
12:09:31,1,1,0%,94
12:09:32,1,1,0%,94
12:09:32,1,1,0%,94
12:09:33,1,1,0%,94
12:09:34,1,1,0%,94
12:09:34,1,1,0%,94
12:09:35,1,1,0%,94
12:09:35,1,1,0%,94
12:09:36,1,1,0%,94
12:09:36,1,1,0%,94
12:09:37,1,1,0%,94
12:09:37,1,1,0%,94
12:09:38,1,1,0%,94
12:09:38,1,1,0%,94
12:09:39,1,1,0%,94
12:09:39,1,1,0%,94
12:09:40,1,1,0%,94
12:09:40,1,1,0%,94
12:09:41,1,1,0%,94
12:09:41,1,1,0%,94
12:09:42,1,1,0%,94
12:09:43,1,1,0%,94
12:09:43,1,1,0%,94
12:09:44,1,1,0%,94
12:09:44,1,1,0%,94
12:09:45,1,1,0%,94
12:09:45,1,1,0%,94
12:09:46,1,1,0%,94
12:09:46,1,1,0%,94
12:09:47,1,1,0%,94
12:09:47,1,1,0%,94
12:09:48,1,1,0%,94
12:09:48,1,1,0%,94
12:09:49,1,1,0%,94
12:09:49,1,1,0%,94
12:09:50,1,1,0%,94
12:09:50,1,1,0%,94
12:09:51,1,1,0%,94
12:09:52,1,1,0%,94
12:09:52,1,1,0%,94
12:09:53,1,1,0%,94
12:09:53,1,1,0%,94
12:09:54,1,1,0%,94
12:09:54,1,1,0%,94
12:09:55,1,1,0%,94
12:09:55,1,1,0%,94
12:09:56,1,1,0%,94
12:09:56,1,1,0%,94
12:09:57,1,1,0%,94
12:09:57,1,1,0%,94
12:09:58,1,1,0%,94
12:09:58,1,1,0%,94
12:09:59,1,1,0%,94
12:10:00,1,1,0%,94
12:10:00,1,1,0%,94
12:10:01,1,1,0%,94
12:10:01,1,1,0%,94
12:10:02,1,1,0%,94
12:10:02,1,1,0%,94
12:10:03,1,1,0%,94
12:10:03,1,1,0%,94
12:10:04,1,1,0%,94
12:10:04,1,1,0%,94
12:10:05,1,1,0%,94
12:10:05,1,1,0%,94
12:10:06,1,1,0%,94
12:10:06,1,1,0%,94
12:10:07,1,1,0%,94
12:10:07,1,1,0%,94
12:10:08,1,1,0%,94
12:10:09,1,1,0%,94
12:10:09,1,1,0%,94
12:10:10,1,1,0%,94
12:10:10,1,1,0%,94
12:10:11,1,1,0%,94
12:10:11,1,1,0%,94
12:10:12,1,1,0%,94
12:10:12,1,1,0%,94
12:10:13,1,1,0%,94
12:10:13,1,1,0%,94
12:10:14,1,1,0%,94
12:10:14,1,1,0%,94
12:10:15,1,1,0%,94
12:10:15,1,1,0%,94
12:10:16,1,1,0%,94
12:10:17,1,1,0%,94
12:10:17,1,1,0%,94
12:10:18,1,1,0%,94
12:10:18,1,1,0%,94
12:10:19,1,1,0%,94
12:10:19,1,1,0%,94
12:10:20,1,1,0%,94
12:10:20,1,1,0%,94
12:10:21,1,1,0%,94
12:10:21,1,1,0%,94
12:10:22,1,1,0%,94
12:10:22,1,1,0%,94
12:10:23,1,1,0%,94
12:10:23,1,1,0%,94
12:10:24,1,1,0%,94
12:10:24,1,1,0%,94
12:10:25,1,1,0%,94
12:10:26,1,1,0%,94
12:10:26,1,1,0%,94
12:10:27,1,1,0%,94
12:10:27,1,1,0%,94
12:10:28,1,1,0%,94
12:10:28,1,1,0%,94
12:10:29,1,1,0%,94
12:10:29,1,1,0%,94
12:10:30,1,1,0%,94
12:10:30,1,1,0%,94
12:10:31,1,1,0%,94
12:10:31,1,1,0%,94
12:10:32,1,1,0%,94
12:10:32,1,1,0%,94
12:10:33,1,1,0%,94
12:10:33,1,1,0%,94
12:10:34,1,1,0%,94
12:10:35,1,1,0%,94
12:10:35,1,1,0%,94
12:10:36,1,1,0%,94
12:10:36,1,1,0%,94
12:10:37,1,1,0%,94
12:10:37,1,1,0%,94
12:10:38,1,1,0%,94
12:10:38,1,1,0%,94
12:10:39,1,1,0%,94
12:10:39,1,1,0%,94
12:10:40,1,1,0%,94
12:10:40,1,1,0%,94
12:10:41,1,1,0%,94
12:10:41,1,1,0%,94
12:10:42,1,1,0%,94
12:10:42,1,1,0%,94
12:10:43,1,1,0%,94
12:10:44,1,1,0%,94
12:10:44,1,1,0%,94
12:10:45,1,1,0%,94
12:10:45,1,1,0%,94
12:10:46,1,1,0%,94
12:10:46,1,1,0%,94
12:10:47,1,1,0%,94
12:10:47,1,1,0%,94
12:10:48,1,1,0%,94
12:10:48,1,1,0%,94
12:10:49,1,1,0%,94
12:10:49,1,1,0%,94
12:10:50,1,1,0%,94
12:10:50,1,1,0%,94
12:10:51,1,1,0%,94
12:10:51,1,1,0%,94
12:10:52,1,1,0%,94
12:10:53,1,1,0%,94
12:10:53,1,1,0%,94
12:10:54,1,1,0%,94
12:10:54,1,1,0%,94
12:10:55,1,1,0%,94
12:10:55,1,1,0%,94
12:10:56,1,1,0%,94
12:10:56,1,1,0%,94
12:10:57,1,1,0%,94
12:10:57,1,1,0%,94
12:10:58,1,1,0%,94
12:10:58,1,1,0%,94
12:10:59,1,1,0%,94
12:10:59,1,1,0%,94
12:11:00,1,1,0%,94
12:11:01,1,1,0%,94
12:11:01,1,1,0%,94
12:11:02,1,1,0%,94
12:11:02,1,1,0%,94
12:11:03,1,1,0%,94
12:11:03,1,1,0%,94
12:11:04,1,1,0%,94
12:11:04,1,1,0%,94
12:11:05,1,1,0%,94
12:11:05,1,1,0%,94
12:11:06,1,1,0%,94
12:11:06,1,1,0%,94
12:11:07,1,1,0%,94
12:11:07,1,1,0%,94
12:11:08,1,1,0%,94
12:11:08,1,1,0%,94
12:11:09,1,1,0%,94
12:11:10,1,1,0%,94
12:11:10,1,1,0%,94
12:11:11,1,1,0%,94
12:11:11,1,1,0%,94
12:11:12,1,1,0%,94
12:11:12,1,1,0%,94
12:11:13,1,1,0%,94
12:11:13,1,1,0%,94
12:11:14,1,1,0%,94
12:11:14,1,1,0%,94
12:11:15,1,1,0%,94
12:11:15,1,1,0%,94
12:11:16,1,1,0%,94
12:11:16,1,1,0%,94
12:11:17,1,1,0%,94
12:11:17,1,1,0%,94
12:11:18,1,1,0%,94
12:11:19,1,1,0%,94
12:11:19,1,1,0%,94
12:11:20,1,1,0%,94
12:11:20,1,1,0%,94
12:11:21,1,1,0%,94
12:11:21,1,1,0%,94
12:11:22,1,1,0%,94
12:11:22,1,1,0%,94
12:11:23,1,1,0%,94
12:11:23,1,1,0%,94
12:11:24,1,1,0%,94
12:11:24,1,1,0%,94
12:11:25,1,1,0%,94
12:11:25,1,1,0%,94
12:11:26,1,1,0%,94
12:11:26,1,1,0%,94
12:11:27,1,1,0%,94
12:11:28,1,1,0%,94
12:11:28,1,1,0%,94
12:11:29,1,1,0%,94
12:11:29,1,1,0%,94
12:11:30,1,1,0%,94
12:11:30,1,1,0%,94
12:11:31,1,1,0%,94
12:11:31,1,1,0%,94
12:11:32,1,1,0%,94
12:11:32,1,1,0%,94
12:11:33,1,1,0%,94
12:11:33,1,1,0%,94
12:11:34,1,1,0%,94
12:11:34,1,1,0%,94
12:11:35,1,1,0%,94
12:11:36,1,1,0%,94
12:11:36,1,1,0%,94
12:11:37,1,1,0%,94
12:11:37,1,1,0%,94
12:11:38,1,1,0%,94
12:11:38,1,1,0%,94
12:11:39,1,1,0%,94
12:11:39,1,1,0%,94
12:11:40,1,1,0%,94
12:11:40,1,1,0%,94
12:11:41,1,1,0%,94
12:11:41,1,1,0%,94
12:11:42,1,1,0%,94
12:11:42,1,1,0%,94
12:11:43,1,1,0%,94
12:11:43,1,1,0%,94
12:11:44,1,1,0%,94
12:11:45,1,1,0%,94
12:11:45,1,1,0%,94
12:11:46,1,1,0%,94
12:11:46,1,1,0%,94
12:11:47,1,1,0%,94
12:11:47,1,1,0%,94
12:11:48,1,1,0%,94
12:11:48,1,1,0%,94
12:11:49,1,1,0%,94
12:11:49,1,1,0%,94
12:11:50,1,1,0%,94
12:11:50,1,1,0%,94
12:11:51,1,1,0%,94
12:11:51,1,1,0%,94
12:11:52,1,1,0%,94
12:11:52,1,1,0%,94
12:11:53,1,1,0%,94
12:11:54,1,1,0%,94
12:11:54,1,1,0%,94
12:11:55,1,1,0%,94
12:11:55,1,1,0%,94
12:11:56,1,1,0%,94
12:11:56,1,1,0%,94
12:11:57,1,1,0%,94
12:11:57,1,1,0%,94
12:11:58,1,1,0%,94
12:11:58,1,1,0%,94
12:11:59,1,1,0%,94
12:11:59,1,1,0%,94
12:12:00,1,1,0%,94
12:12:00,1,1,0%,94
12:12:01,1,1,0%,94
12:12:02,1,1,0%,94
12:12:02,1,1,0%,94
12:12:03,1,1,0%,94
12:12:03,1,1,0%,94
12:12:04,1,1,0%,94
12:12:04,1,1,0%,94
12:12:05,1,1,0%,94
12:12:05,1,1,0%,94
12:12:06,1,1,0%,94
12:12:06,1,1,0%,94
12:12:07,1,1,0%,94
12:12:07,1,1,0%,94
12:12:08,1,1,0%,94
12:12:08,1,1,0%,94
12:12:09,1,1,0%,94
12:12:09,1,1,0%,94
12:12:10,1,1,0%,94
12:12:11,1,1,0%,94
12:12:11,1,1,0%,94
12:12:12,1,1,0%,94
12:12:12,1,1,0%,94
12:12:13,1,1,0%,94
12:12:13,1,1,0%,94
12:12:14,1,1,0%,94
12:12:14,1,1,0%,94
12:12:15,1,1,0%,94
12:12:15,1,1,0%,94
12:12:16,1,1,0%,94
12:12:16,1,1,0%,94
12:12:17,1,1,0%,94
12:12:17,1,1,0%,94
12:12:18,1,1,0%,94
12:12:18,1,1,0%,94
12:12:19,1,1,0%,94
12:12:20,1,1,0%,94
12:12:20,1,1,0%,94
12:12:21,1,1,0%,94
12:12:21,1,1,0%,94
12:12:22,1,1,0%,94
12:12:22,1,1,0%,94
12:12:23,1,1,0%,94
12:12:23,1,1,0%,94
12:12:24,1,1,0%,94
12:12:24,1,1,0%,94
12:12:25,1,1,0%,94
12:12:25,1,1,0%,94
12:12:26,1,1,0%,94
12:12:26,1,1,0%,94
12:12:27,1,1,0%,94
12:12:28,1,1,0%,94
12:12:28,1,1,0%,94
12:12:29,1,1,0%,94
12:12:29,1,1,0%,94
12:12:30,1,1,0%,94
12:12:30,1,1,0%,94
12:12:31,1,1,0%,94
12:12:31,1,1,0%,94
12:12:32,1,1,0%,94
12:12:32,1,1,0%,94
12:12:33,1,1,0%,94
12:12:33,1,1,0%,94
12:12:34,1,1,0%,94
12:12:34,1,1,0%,94
12:12:35,1,1,0%,94
12:12:35,1,1,0%,94
12:12:36,1,1,0%,94
12:12:37,1,1,0%,94
12:12:37,1,1,0%,94
12:12:38,1,1,0%,94
12:12:38,1,1,0%,94
12:12:39,1,1,0%,94
12:12:39,1,1,0%,94
12:12:40,1,1,0%,94
12:12:40,1,1,0%,94
12:12:41,1,1,0%,94
12:12:41,1,1,0%,94
12:12:42,1,1,0%,94
12:12:42,1,1,0%,94
12:12:43,1,1,0%,94
12:12:43,1,1,0%,94
12:12:44,1,1,0%,94
12:12:45,1,1,0%,94
12:12:45,1,1,0%,94
12:12:46,1,1,0%,94
12:12:46,1,1,0%,94
12:12:47,1,1,0%,94
12:12:47,1,1,0%,94
12:12:48,1,1,0%,94
12:12:48,1,1,0%,94
12:12:49,1,1,0%,94
12:12:49,1,1,0%,94
12:12:50,1,1,0%,94
12:12:50,1,1,0%,94
12:12:51,1,1,0%,94
12:12:51,1,1,0%,94
12:12:52,1,1,0%,94
12:12:52,1,1,0%,94
12:12:53,1,1,0%,94
12:12:54,1,1,0%,94
12:12:54,1,1,0%,94
12:12:55,1,1,0%,94
12:12:55,1,1,0%,94
12:12:56,1,1,0%,94
12:12:56,1,1,0%,94
12:12:57,1,1,0%,94
12:12:57,1,1,0%,94
12:12:58,1,1,0%,94
12:12:58,1,1,0%,94
12:12:59,1,1,0%,94
12:12:59,1,1,0%,94
12:13:00,1,1,0%,94
12:13:00,1,1,0%,94
12:13:01,1,1,0%,94
12:13:01,1,1,0%,94
12:13:02,1,1,0%,94
12:13:03,1,1,0%,94
12:13:03,1,1,0%,94
12:13:04,1,1,0%,94
12:13:04,1,1,0%,94
12:13:05,1,1,0%,94
12:13:05,1,1,0%,94
12:13:06,1,1,0%,94
12:13:06,1,1,0%,94
12:13:07,1,1,0%,94
12:13:07,1,1,0%,94
12:13:08,1,1,0%,94
12:13:08,1,1,0%,94
12:13:09,1,1,0%,94
12:13:09,1,1,0%,94
12:13:10,1,1,0%,94
12:13:10,1,1,0%,94
12:13:11,1,1,0%,94
12:13:12,1,1,0%,94
12:13:12,1,1,0%,94
12:13:13,1,1,0%,94
12:13:13,1,1,0%,94
12:13:14,1,1,0%,94
12:13:14,1,1,0%,94
12:13:15,1,1,0%,94
12:13:15,1,1,0%,94
12:13:16,1,1,0%,94
12:13:16,1,1,0%,94
12:13:17,1,1,0%,94
12:13:17,1,1,0%,94
12:13:18,1,1,0%,94
12:13:18,1,1,0%,94
12:13:19,1,1,0%,94
12:13:19,1,1,0%,94
12:13:20,1,1,0%,94
12:13:21,1,1,0%,94
12:13:21,1,1,0%,94
12:13:22,1,1,0%,94
12:13:22,1,1,0%,94
12:13:23,1,1,0%,94
12:13:23,1,1,0%,94
12:13:24,1,1,0%,94
12:13:24,1,1,0%,94
12:13:25,1,1,0%,94
12:13:25,1,1,0%,94
12:13:26,1,1,0%,94
12:13:26,1,1,0%,94
12:13:27,1,1,0%,94
12:13:27,1,1,0%,94
12:13:28,1,1,0%,94
12:13:28,1,1,0%,94
12:13:29,1,1,0%,94
12:13:30,1,1,0%,94
12:13:30,1,1,0%,94
12:13:31,1,1,0%,94
12:13:31,1,1,0%,94
12:13:32,1,1,0%,94
12:13:32,1,1,0%,94
12:13:33,1,1,0%,94
12:13:33,1,1,0%,94
